;0;0;0
0;287.84;287.84;287.84
1;287.03;286.8;287.59
2;286.65;286.65;277.83
3;286.35;286.1;277.21
4;285.06;285.81;276.41
5;284.93;284.08;276.34
6;274.44;283.43;274.69
7;274.23;282.67;274.47
8;273.13;276.78;274.09
9;272.61;276.6;274.05
10;271.67;276.41;273.67
11;271.27;275.3;273.6
12;270.3;272.93;272.86
13;270.08;269.53;271.78
14;269.41;266.57;260.03
15;269.27;262.09;259.23
16;268.47;258.23;254.83
17;267.34;258.0;253.89
18;262.1;257.96;249.47
19;261.27;257.74;249.2
20;261.24;257.67;249.14
21;257.35;252.68;248.84
22;252.82;248.68;248.3
23;252.82;248.61;243.85
24;252.44;248.34;243.04
25;243.68;246.73;242.77
26;243.63;244.53;242.63
27;243.29;239.79;237.9
28;240.69;239.73;237.61
29;240.46;238.87;236.64
30;240.2;237.86;235.65
31;240.11;234.48;230.96
32;237.9;231.63;224.7
33;237.87;231.46;223.11
34;233.84;230.75;222.82
35;232.83;228.73;222.78
36;232.29;228.28;221.35
37;231.33;227.94;220.89
38;229.31;226.6;220.46
39;229.27;226.17;220.43
40;229.18;225.92;219.19
41;228.88;224.62;218.77
42;228.21;223.3;217.81
43;228.03;222.42;217.56
44;227.68;222.31;217.32
45;225.82;221.88;217.23
46;222.24;215.03;217.05
47;219.12;214.16;216.72
48;218.91;212.3;216.52
49;218.72;211.84;213.95
50;218.31;211.0;213.78
51;218.3;209.3;213.64
52;217.99;205.53;211.84
53;212.32;201.49;211.34
54;211.82;201.21;211.08
55;211.36;201.17;210.82
56;209.97;199.57;210.28
57;209.92;196.23;210.08
58;209.06;195.97;207.52
59;208.77;194.55;207.11
60;205.05;194.35;206.7
61;204.61;193.13;203.59
62;204.33;192.7;203.5
63;204.07;192.02;202.78
64;202.22;187.66;201.73
65;201.04;185.41;201.12
66;200.99;184.94;200.69
67;200.79;184.48;198.24
68;200.58;184.37;195.81
69;200.17;184.16;193.27
70;198.5;184.02;193.15
71;196.1;183.91;192.71
72;195.25;183.76;191.64
73;194.66;183.36;191.52
74;193.33;183.33;191.2
75;193.01;183.11;191.05
76;191.53;182.91;190.57
77;187.8;182.09;186.82
78;187.32;181.82;186.71
79;182.85;181.65;186.46
80;182.32;181.25;186.07
81;181.38;180.83;185.78
82;181.35;180.42;185.78
83;180.96;180.38;185.62
84;180.41;178.55;185.28
85;178.34;178.22;185.2
86;174.81;178.11;184.95
87;174.26;178.07;184.88
88;172.05;177.66;184.44
89;170.2;177.47;183.86
90;170.18;176.65;183.08
91;169.02;176.23;182.99
92;168.95;175.82;182.35
93;168.92;175.39;180.93
94;168.89;175.1;179.02
95;168.88;174.84;177.67
96;166.45;173.79;174.96
97;166.02;173.5;174.92
98;165.82;171.39;172.24
99;165.65;171.17;171.82
